,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum
0,0,-0.5,-0.5,0.25,4,407
1,-1,-0.5,-0.5,0.25,4,305
2,0,-0.5,0.5,-0.25,4,101
3,-1,-0.5,-0.5,0.25,4,308
4,0,-0.5,-0.5,0.25,4,402
5,0,-0.5,0.5,-0.25,4,107
6,-1,-0.5,-0.5,0.25,4,303
7,-1,-0.5,-0.5,0.25,5,401
8,0,-0.5,0.5,-0.25,4,105
9,0,-0.5,-0.5,0.25,4,401
10,-1,-0.5,0.5,-0.25,5,106
11,-1,-0.5,0.5,-0.25,5,102
12,0,-0.5,-0.5,0.25,5,402
13,-1,-0.5,-0.5,0.25,5,301
14,0,-0.5,0.5,-0.25,5,105
15,0,-0.5,-0.5,0.25,5,306
16,-1,-0.5,-0.5,0.25,5,404
17,-1,-0.5,-0.5,0.25,5,302
18,0,0.5,-0.5,-0.25,1,305
19,-1,0.5,-0.5,-0.25,3,405
20,0,0.5,-0.5,-0.25,1,403
21,0,0.5,-0.5,-0.25,3,308
22,-1,0.5,0.5,0.25,1,101
23,-1,0.5,-0.5,-0.25,3,402
24,-1,0.5,0.5,0.25,3,102
25,0,0.5,0.5,0.25,3,106
26,-1,0.5,-0.5,-0.25,3,307
27,-1,0.5,-0.5,-0.25,3,406
28,-1,0.5,0.5,0.25,8,102
29,0,0.5,-0.5,-0.25,8,407
30,0,0.5,-0.5,-0.25,8,408
31,-1,0.5,0.5,0.25,1,102
32,-1,0.5,-0.5,-0.25,3,301
33,0,0.5,-0.5,-0.25,1,307
34,-1,0.5,0.5,0.25,1,103
35,0,0.5,-0.5,-0.25,1,401
36,-1,-0.5,-0.5,0.25,2,401
37,0,0.5,0.5,0.25,3,104
38,0,-0.5,-0.5,0.25,2,402
39,0,0.5,-0.5,-0.25,8,308
40,-3,-0.5,0.5,-0.25,2,104
41,0,0.5,-0.5,-0.25,8,301
42,0,0.5,-0.5,-0.25,1,406
43,-5,-0.5,-0.5,0.25,2,406
44,0,-0.5,-0.5,0.25,2,308
45,0,0.5,0.5,0.25,8,105
46,-1,-0.5,0.5,-0.25,2,107
47,-3,-0.5,0.5,-0.25,2,108
48,-4,-0.5,-0.5,0.25,2,307
49,0,0.5,0.5,0.25,8,107
50,0,-0.5,-0.5,0.25,2,305
51,0,0.5,-0.5,-0.25,8,307
52,0,0.5,-0.5,-0.25,10,408
53,0,0.5,-0.5,-0.25,8,401
54,0,0.5,-0.5,-0.25,10,304
55,0,0.5,0.5,0.25,10,107
56,0,0.5,-0.5,-0.25,10,308
57,0,0.5,-0.5,-0.25,1,302
58,0,0.5,-0.5,-0.25,10,406
59,0,0.5,-0.5,-0.25,10,302
60,-1,-0.5,0.5,-0.25,6,101
61,0,-0.5,-0.5,0.25,6,308
62,0,0.5,-0.5,-0.25,9,301
63,-1,-0.5,-0.5,0.25,6,406
64,0,0.5,0.5,0.25,10,103
65,0,0.5,-0.5,-0.25,9,308
66,0,0.5,-0.5,-0.25,10,404
67,-1,-0.5,0.5,-0.25,6,104
68,0,0.5,0.5,0.25,10,101
69,-1,0.5,0.5,0.25,9,106
70,0,-0.5,-0.5,0.25,6,301
71,0,0.5,-0.5,-0.25,9,302
