,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum
0,-2,0.5,-0.5,-0.25,1,28
1,0,0.5,-0.5,-0.25,1,8
2,0,0.5,-0.5,-0.25,1,11
3,0,0.5,-0.5,-0.25,1,13
4,0,0.5,-0.5,-0.25,1,6
5,0,0.5,-0.5,-0.25,1,23
6,-2,0.5,-0.5,-0.25,1,16
7,0,0.5,0.5,0.25,1,14
8,0,0.5,-0.5,-0.25,1,21
9,-1,0.5,-0.5,-0.25,1,25
10,-2,0.5,-0.5,-0.25,1,4
11,0,0.5,-0.5,-0.25,1,26
12,0,0.5,-0.5,-0.25,1,15
13,0,0.5,-0.5,-0.25,1,27
14,0,0.5,-0.5,-0.25,1,29
15,0,0.5,-0.5,-0.25,1,24
16,0,0.5,-0.5,-0.25,1,1
17,-1,0.5,-0.5,-0.25,1,10
18,-1,0.5,0.5,0.25,1,12
19,0,0.5,-0.5,-0.25,1,19
20,0,0.5,-0.5,-0.25,1,0
21,0,0.5,-0.5,-0.25,1,2
22,0,0.5,-0.5,-0.25,1,22
23,0,0.5,-0.5,-0.25,1,5
24,0,0.5,-0.5,-0.25,1,18
25,0,0.5,-0.5,-0.25,1,9
26,-1,0.5,0.5,0.25,1,3
27,-1,0.5,-0.5,-0.25,1,17
28,0,0.5,-0.5,-0.25,1,7
29,0,0.5,-0.5,-0.25,1,20
30,0,0.5,-0.5,-0.25,2,18
31,-1,0.5,0.5,0.25,2,14
32,0,0.5,-0.5,-0.25,2,5
33,0,0.5,-0.5,-0.25,2,24
34,0,0.5,-0.5,-0.25,2,17
35,0,0.5,-0.5,-0.25,2,4
36,0,0.5,-0.5,-0.25,2,2
37,0,0.5,-0.5,-0.25,2,23
38,0,0.5,-0.5,-0.25,2,19
39,-1,0.5,0.5,0.25,2,3
40,0,0.5,-0.5,-0.25,2,13
41,0,0.5,-0.5,-0.25,2,15
42,0,0.5,-0.5,-0.25,2,16
43,0,0.5,-0.5,-0.25,2,6
44,0,0.5,-0.5,-0.25,2,1
45,0,0.5,-0.5,-0.25,2,21
46,0,0.5,-0.5,-0.25,2,0
47,0,0.5,-0.5,-0.25,2,8
48,-1,0.5,0.5,0.25,2,12
49,0,0.5,-0.5,-0.25,3,25
50,0,0.5,-0.5,-0.25,2,9
51,0,0.5,-0.5,-0.25,3,5
52,0,0.5,-0.5,-0.25,2,22
53,0,0.5,-0.5,-0.25,3,16
54,-2,0.5,-0.5,-0.25,2,28
55,0,0.5,-0.5,-0.25,3,11
56,0,0.5,-0.5,-0.25,2,25
57,0,0.5,-0.5,-0.25,3,27
58,-2,0.5,-0.5,-0.25,2,11
59,0,0.5,-0.5,-0.25,3,19
60,0,0.5,-0.5,-0.25,2,26
61,0,0.5,-0.5,-0.25,3,7
62,0,0.5,-0.5,-0.25,3,6
63,-1,0.5,-0.5,-0.25,2,10
64,0,0.5,-0.5,-0.25,3,0
65,0,0.5,-0.5,-0.25,2,29
66,0,0.5,-0.5,-0.25,2,20
67,0,0.5,-0.5,-0.25,3,22
68,0,0.5,-0.5,-0.25,2,27
69,0,0.5,-0.5,-0.25,3,2
70,0,0.5,-0.5,-0.25,3,8
71,0,0.5,-0.5,-0.25,2,7
72,0,0.5,-0.5,-0.25,3,24
73,0,0.5,-0.5,-0.25,3,18
74,0,0.5,-0.5,-0.25,3,21
75,0,0.5,-0.5,-0.25,3,29
76,2,0.5,0.5,0.25,3,3
77,0,0.5,-0.5,-0.25,3,15
78,0,0.5,-0.5,-0.25,3,28
79,0,0.5,0.5,0.25,3,14
80,0,0.5,0.5,0.25,3,12
81,0,0.5,-0.5,-0.25,3,9
82,0,0.5,-0.5,-0.25,3,10
83,-1,0.5,-0.5,-0.25,3,17
84,0,0.5,-0.5,-0.25,3,23
85,0,0.5,-0.5,-0.25,3,4
86,-1,0.5,-0.5,-0.25,3,13
87,0,0.5,-0.5,-0.25,3,20
88,0,0.5,-0.5,-0.25,3,1
89,0,0.5,-0.5,-0.25,3,26
90,0,0.5,-0.5,-0.25,4,25
91,0,0.5,-0.5,-0.25,4,7
92,0,0.5,-0.5,-0.25,4,11
93,0,0.5,-0.5,-0.25,4,18
94,0,0.5,-0.5,-0.25,4,28
95,0,0.5,-0.5,-0.25,4,0
96,0,0.5,-0.5,-0.25,4,20
97,0,0.5,-0.5,-0.25,4,10
98,-1,0.5,-0.5,-0.25,4,22
99,0,0.5,-0.5,-0.25,4,16
100,0,0.5,-0.5,-0.25,4,1
101,0,0.5,-0.5,-0.25,4,26
102,0,0.5,-0.5,-0.25,4,15
103,-1,0.5,0.5,0.25,4,14
104,0,0.5,-0.5,-0.25,5,18
105,0,0.5,-0.5,-0.25,4,5
106,0,0.5,-0.5,-0.25,4,6
107,0,0.5,-0.5,-0.25,4,24
108,0,0.5,-0.5,-0.25,5,28
109,0,0.5,-0.5,-0.25,4,27
110,0,0.5,-0.5,-0.25,4,4
111,0,0.5,-0.5,-0.25,5,13
112,0,0.5,-0.5,-0.25,4,19
113,0,0.5,-0.5,-0.25,5,16
114,0,0.5,-0.5,-0.25,4,17
115,0,0.5,-0.5,-0.25,5,6
116,0,0.5,-0.5,-0.25,4,9
117,-2,0.5,-0.5,-0.25,5,21
118,0,0.5,-0.5,-0.25,5,23
119,0,0.5,-0.5,-0.25,4,21
120,0,0.5,-0.5,-0.25,5,4
121,0,0.5,-0.5,-0.25,4,2
122,0,0.5,-0.5,-0.25,5,17
123,0,0.5,-0.5,-0.25,5,7
124,-1,0.5,0.5,0.25,4,12
125,0,0.5,-0.5,-0.25,5,19
126,0,0.5,-0.5,-0.25,5,29
127,-1,0.5,0.5,0.25,4,3
128,0,0.5,-0.5,-0.25,5,2
129,0,0.5,-0.5,-0.25,4,8
130,0,0.5,-0.5,-0.25,5,24
131,0,0.5,-0.5,-0.25,5,27
132,0,0.5,-0.5,-0.25,4,13
133,0,0.5,-0.5,-0.25,5,8
134,0,0.5,-0.5,-0.25,5,25
135,-1,0.5,-0.5,-0.25,4,29
136,0,0.5,-0.5,-0.25,5,1
137,0,0.5,-0.5,-0.25,4,23
138,-1,0.5,0.5,0.25,5,14
139,-1,0.5,0.5,0.25,5,12
140,0,0.5,-0.5,-0.25,5,0
141,2,0.5,0.5,0.25,5,3
142,-2,0.5,-0.5,-0.25,5,5
143,0,0.5,-0.5,-0.25,5,11
144,0,0.5,-0.5,-0.25,5,26
145,0,0.5,-0.5,-0.25,5,9
146,0,0.5,-0.5,-0.25,5,20
147,0,0.5,-0.5,-0.25,5,15
148,-1,0.5,-0.5,-0.25,5,10
149,0,0.5,-0.5,-0.25,5,22
150,-1,0.5,-0.5,-0.25,6,10
151,0,0.5,-0.5,-0.25,6,9
152,0,0.5,-0.5,-0.25,6,11
153,2,0.5,0.5,0.25,6,3
154,0,0.5,-0.5,-0.25,6,25
155,0,0.5,-0.5,-0.25,6,7
156,0,0.5,-0.5,-0.25,6,1
157,0,0.5,-0.5,-0.25,6,28
158,0,0.5,-0.5,-0.25,7,16
159,0,0.5,-0.5,-0.25,6,13
160,0,0.5,-0.5,-0.25,7,24
161,0,0.5,-0.5,-0.25,6,20
162,0,0.5,-0.5,-0.25,7,5
163,0,0.5,-0.5,-0.25,6,2
164,0,0.5,-0.5,-0.25,7,23
165,0,0.5,-0.5,-0.25,7,27
166,0,0.5,-0.5,-0.25,6,17
167,0,0.5,-0.5,-0.25,7,7
168,0,0.5,-0.5,-0.25,6,29
169,0,0.5,-0.5,-0.25,6,0
170,0,0.5,-0.5,-0.25,7,26
171,0,0.5,-0.5,-0.25,6,26
172,0,0.5,-0.5,-0.25,7,20
173,0,0.5,-0.5,-0.25,7,19
174,0,0.5,-0.5,-0.25,6,15
175,0,0.5,-0.5,-0.25,7,1
176,0,0.5,-0.5,-0.25,6,4
177,0,0.5,-0.5,-0.25,7,28
178,0,0.5,-0.5,-0.25,6,16
179,0,0.5,-0.5,-0.25,7,21
180,0,0.5,-0.5,-0.25,6,5
181,0,0.5,0.5,0.25,7,3
182,0,0.5,-0.5,-0.25,6,6
183,0,0.5,-0.5,-0.25,6,27
184,-1,0.5,-0.5,-0.25,7,17
185,0,0.5,-0.5,-0.25,6,21
186,0,0.5,-0.5,-0.25,7,4
187,0,0.5,-0.5,-0.25,7,0
188,0,0.5,0.5,0.25,6,12
189,0,0.5,-0.5,-0.25,7,22
190,0,0.5,0.5,0.25,6,14
