,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum,push,time_x_push,no_time
0,0,-0.5,0.5,-0.25,2,308,0.0,-0.0,0
1,-1,-0.5,-0.5,0.25,2,104,0.5,-0.25,-2
2,0,-0.5,0.5,-0.25,2,403,0.0,-0.0,1
3,-1,-0.5,-0.5,0.25,2,103,0.5,-0.25,-2
4,0,-0.5,-0.5,0.25,2,201,-0.5,0.25,-1
5,0,-0.5,0.5,-0.25,2,405,0.0,-0.0,1
6,0,-0.5,0.5,-0.25,2,306,0.0,-0.0,0
7,0,-0.5,0.5,-0.25,2,303,0.0,-0.0,0
8,0,-0.5,-0.5,0.25,2,205,-0.5,0.25,-1
9,0,-0.5,0.5,-0.25,2,305,0.0,-0.0,0
10,-1,-0.5,-0.5,0.25,2,105,0.5,-0.25,-2
11,0,-0.5,-0.5,0.25,2,208,-0.5,0.25,-1
12,0,-0.5,0.5,-0.25,2,402,0.0,-0.0,1
13,-1,-0.5,-0.5,0.25,2,108,0.5,-0.25,-2
14,0,-0.5,0.5,-0.25,2,307,0.0,-0.0,0
15,0,-0.5,0.5,-0.25,2,302,0.0,-0.0,0
16,0,-0.5,-0.5,0.25,2,202,-0.5,0.25,-1
17,-1,-0.5,0.5,-0.25,2,406,0.0,-0.0,0
18,0,-0.5,-0.5,0.25,2,203,-0.5,0.25,-1
19,0,-0.5,0.5,-0.25,2,304,0.0,-0.0,0
20,0,-0.5,0.5,-0.25,2,408,0.0,-0.0,1
21,0,-0.5,0.5,-0.25,2,301,0.0,-0.0,0
22,0,-0.5,0.5,-0.25,2,404,0.0,-0.0,1
23,-1,-0.5,0.5,-0.25,2,401,0.0,-0.0,0
24,0,-0.5,0.5,-0.25,2,407,0.0,-0.0,1
25,0,-0.5,-0.5,0.25,2,206,-0.5,0.25,-1
26,-1,-0.5,-0.5,0.25,2,101,0.5,-0.25,-2
27,0,-0.5,-0.5,0.25,2,106,0.5,-0.25,-1
28,0,-0.5,-0.5,0.25,2,107,0.5,-0.25,-1
29,0,-0.5,-0.5,0.25,2,204,-0.5,0.25,-1
30,0,-0.5,-0.5,0.25,2,207,-0.5,0.25,-1
31,-1,-0.5,-0.5,0.25,2,102,0.5,-0.25,-2
32,-1,-0.5,-0.5,0.25,3,101,0.5,-0.25,-2
33,0,-0.5,0.5,-0.25,3,407,0.0,-0.0,1
34,0,-0.5,-0.5,0.25,3,204,-0.5,0.25,-1
35,-1,-0.5,0.5,-0.25,3,301,0.0,-0.0,-1
36,0,-0.5,0.5,-0.25,3,405,0.0,-0.0,1
37,0,-0.5,0.5,-0.25,3,304,0.0,-0.0,0
38,0,-0.5,0.5,-0.25,3,306,0.0,-0.0,0
39,-1,-0.5,-0.5,0.25,3,202,-0.5,0.25,-2
40,0,-0.5,-0.5,0.25,3,205,-0.5,0.25,-1
41,0,-0.5,-0.5,0.25,3,201,-0.5,0.25,-1
42,-1,-0.5,-0.5,0.25,3,105,0.5,-0.25,-2
43,-1,-0.5,-0.5,0.25,3,103,0.5,-0.25,-2
44,0,-0.5,0.5,-0.25,3,308,0.0,-0.0,0
45,0,-0.5,0.5,-0.25,3,408,0.0,-0.0,1
46,0,-0.5,-0.5,0.25,3,206,-0.5,0.25,-1
47,-1,-0.5,-0.5,0.25,3,208,-0.5,0.25,-2
48,-1,-0.5,0.5,-0.25,3,401,0.0,-0.0,0
49,0,-0.5,0.5,-0.25,3,404,0.0,-0.0,1
50,0,-0.5,-0.5,0.25,3,207,-0.5,0.25,-1
51,0,-0.5,0.5,-0.25,3,307,0.0,-0.0,0
52,0,-0.5,0.5,-0.25,3,402,0.0,-0.0,1
53,0,-0.5,0.5,-0.25,3,403,0.0,-0.0,1
54,-1,-0.5,-0.5,0.25,3,203,-0.5,0.25,-2
55,-1,-0.5,0.5,-0.25,3,406,0.0,-0.0,0
56,-1,-0.5,-0.5,0.25,3,107,0.5,-0.25,-2
57,0,-0.5,0.5,-0.25,3,305,0.0,-0.0,0
58,-1,-0.5,-0.5,0.25,3,106,0.5,-0.25,-2
59,0,-0.5,0.5,-0.25,3,302,0.0,-0.0,0
60,-1,-0.5,0.5,-0.25,3,303,0.0,-0.0,-1
61,0,-0.5,0.5,-0.25,5,403,0.0,-0.0,1
62,0,-0.5,0.5,-0.25,5,304,0.0,-0.0,0
63,0,-0.5,-0.5,0.25,5,206,-0.5,0.25,-1
64,0,-0.5,0.5,-0.25,5,408,0.0,-0.0,1
65,0,-0.5,0.5,-0.25,5,301,0.0,-0.0,0
66,0,-0.5,0.5,-0.25,5,404,0.0,-0.0,1
67,-1,-0.5,-0.5,0.25,5,103,0.5,-0.25,-2
68,0,-0.5,-0.5,0.25,5,204,-0.5,0.25,-1
69,0,-0.5,-0.5,0.25,5,208,-0.5,0.25,-1
70,0,-0.5,-0.5,0.25,5,202,-0.5,0.25,-1
71,0,-0.5,0.5,-0.25,5,307,0.0,-0.0,0
72,0,-0.5,0.5,-0.25,5,306,0.0,-0.0,0
