,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum,push,time_x_push
0,-1,-0.5,-0.5,0.25,0,101,0.5,-0.25
1,-1,-0.5,-0.5,0.25,0,102,0.5,-0.25
2,0,-0.5,-0.5,0.25,0,103,0.5,-0.25
3,0,-0.5,-0.5,0.25,0,104,0.5,-0.25
4,0,-0.5,-0.5,0.25,0,105,0.5,-0.25
5,-1,-0.5,-0.5,0.25,0,106,0.5,-0.25
6,0,-0.5,-0.5,0.25,0,107,0.5,-0.25
7,-1,-0.5,-0.5,0.25,0,108,0.5,-0.25
8,0,-0.5,-0.5,0.25,0,201,-0.5,0.25
9,0,-0.5,-0.5,0.25,0,202,-0.5,0.25
10,0,-0.5,-0.5,0.25,0,203,-0.5,0.25
11,0,-0.5,-0.5,0.25,0,204,-0.5,0.25
12,0,-0.5,-0.5,0.25,0,205,-0.5,0.25
13,0,-0.5,-0.5,0.25,0,206,-0.5,0.25
14,0,-0.5,-0.5,0.25,0,207,-0.5,0.25
15,0,-0.5,-0.5,0.25,0,208,-0.5,0.25
16,0,-0.5,0.5,-0.25,0,301,0.0,-0.0
17,0,-0.5,0.5,-0.25,0,302,0.0,-0.0
18,0,-0.5,0.5,-0.25,0,303,0.0,-0.0
19,0,-0.5,0.5,-0.25,0,304,0.0,-0.0
20,0,-0.5,0.5,-0.25,0,305,0.0,-0.0
21,0,-0.5,0.5,-0.25,0,306,0.0,-0.0
22,0,-0.5,0.5,-0.25,0,307,0.0,-0.0
23,0,-0.5,0.5,-0.25,0,308,0.0,-0.0
24,-1,-0.5,0.5,-0.25,0,401,0.0,-0.0
25,0,-0.5,0.5,-0.25,0,402,0.0,-0.0
26,0,-0.5,0.5,-0.25,0,403,0.0,-0.0
27,0,-0.5,0.5,-0.25,0,404,0.0,-0.0
28,0,-0.5,0.5,-0.25,0,405,0.0,-0.0
29,-1,-0.5,0.5,-0.25,0,406,0.0,-0.0
30,0,-0.5,0.5,-0.25,0,407,0.0,-0.0
31,0,-0.5,0.5,-0.25,0,408,0.0,-0.0
32,-1,-0.5,-0.5,0.25,1,101,0.5,-0.25
33,-1,-0.5,-0.5,0.25,1,102,0.5,-0.25
34,0,-0.5,-0.5,0.25,1,103,0.5,-0.25
35,0,-0.5,-0.5,0.25,1,104,0.5,-0.25
36,0,-0.5,-0.5,0.25,1,105,0.5,-0.25
37,0,-0.5,-0.5,0.25,1,106,0.5,-0.25
38,0,-0.5,-0.5,0.25,1,107,0.5,-0.25
39,0,-0.5,-0.5,0.25,1,108,0.5,-0.25
40,0,-0.5,-0.5,0.25,1,201,-0.5,0.25
41,-1,-0.5,-0.5,0.25,1,202,-0.5,0.25
42,0,-0.5,-0.5,0.25,1,203,-0.5,0.25
43,0,-0.5,-0.5,0.25,1,204,-0.5,0.25
44,0,-0.5,-0.5,0.25,1,205,-0.5,0.25
45,-1,-0.5,-0.5,0.25,1,206,-0.5,0.25
46,0,-0.5,-0.5,0.25,1,207,-0.5,0.25
47,0,-0.5,-0.5,0.25,1,208,-0.5,0.25
48,0,-0.5,0.5,-0.25,1,301,0.0,-0.0
49,0,-0.5,0.5,-0.25,1,302,0.0,-0.0
50,0,-0.5,0.5,-0.25,1,303,0.0,-0.0
51,0,-0.5,0.5,-0.25,1,304,0.0,-0.0
52,0,-0.5,0.5,-0.25,1,305,0.0,-0.0
53,0,-0.5,0.5,-0.25,1,306,0.0,-0.0
54,0,-0.5,0.5,-0.25,1,307,0.0,-0.0
55,0,-0.5,0.5,-0.25,1,308,0.0,-0.0
56,-1,-0.5,0.5,-0.25,1,401,0.0,-0.0
57,0,-0.5,0.5,-0.25,1,402,0.0,-0.0
58,0,-0.5,0.5,-0.25,1,403,0.0,-0.0
59,0,-0.5,0.5,-0.25,1,404,0.0,-0.0
60,-1,-0.5,0.5,-0.25,1,405,0.0,-0.0
61,0,-0.5,0.5,-0.25,1,406,0.0,-0.0
